电影名称,评分,人评价,评语,链接
十二怒汉,9.4,495146人评价,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
何以为家,9.1,1052302人评价,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,9.0,1580478人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/
让子弹飞,9.0,1711924人评价,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
天空之城,9.2,881348人评价,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
猫鼠游戏,9.1,1035258人评价,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
鬼子来了,9.3,631363人评价,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
少年派的奇幻漂流,9.1,1357585人评价,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
海蒂和爷爷,9.3,622001人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/
钢琴家,9.3,646131人评价,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,9.0,1229673人评价,旷古烁今。,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵,9.2,759339人评价,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
闻香识女人,9.1,892291人评价,史上最美的探戈。,https://movie.douban.com/subject/1298624/
罗马假日,9.1,956466人评价,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
死亡诗社,9.2,733301人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
绿皮书,8.9,1662748人评价,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/
天堂电影院,9.2,682551人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
大闹天宫,9.4,442171人评价,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
指环王1：护戒使者,9.1,853748人评价,传说的开始。,https://movie.douban.com/subject/1291571/
黑客帝国,9.1,843721人评价,视觉革命。,https://movie.douban.com/subject/1291843/
教父2,9.3,557395人评价,优雅的孤独。,https://movie.douban.com/subject/1299131/
狮子王,9.1,849570人评价,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
辩护人,9.2,592199人评价,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
饮食男女,9.2,625685人评价,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
搏击俱乐部,9.0,851834人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
美丽心灵,9.1,773983人评价,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
本杰明·巴顿奇事,9.0,989398人评价,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
穿条纹睡衣的男孩,9.2,569733人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
窃听风暴,9.2,568395人评价,别样人生。,https://movie.douban.com/subject/1900841/
情书,8.9,1122801人评价,暗恋的极致。,https://movie.douban.com/subject/1292220/
两杆大烟枪,9.1,598696人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
西西里的美丽传说,8.9,982019人评价,美丽无罪。,https://movie.douban.com/subject/1292402/
看不见的客人,8.8,1279189人评价,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
音乐之声,9.1,607218人评价,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
阿凡达,8.8,1431015人评价,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
拯救大兵瑞恩,9.1,651544人评价,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
哈利·波特与死亡圣器(下),9.0,839124人评价,10年的完美句点。,https://movie.douban.com/subject/3011235/
飞越疯人院,9.1,550485人评价,自由万岁。,https://movie.douban.com/subject/1292224/
小鞋子,9.2,414077人评价,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
沉默的羔羊,8.9,896382人评价,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
布达佩斯大饭店,8.9,943201人评价,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
禁闭岛,8.9,985083人评价,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
功夫,8.8,1144138人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://movie.douban.com/subject/1291543/
蝴蝶效应,8.9,945042人评价,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
致命魔术,8.9,866422人评价,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
哈利·波特与阿兹卡班的囚徒,8.9,738366人评价,不一样的导演，不一样的哈利·波特。,https://movie.douban.com/subject/1291544/
心灵捕手,8.9,719062人评价,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
海豚湾,9.3,358847人评价,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
超脱,9.0,607091人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
低俗小说,8.9,839460人评价,故事的高级讲法。,https://movie.douban.com/subject/1291832/
春光乍泄,9.0,636823人评价,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
摩登时代,9.3,303797人评价,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
美国往事,9.2,414154人评价,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
喜剧之王,8.8,977420人评价,我是一个演员。,https://movie.douban.com/subject/1302425/
致命ID,8.9,831558人评价,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
杀人回忆,8.9,720367人评价,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
七宗罪,8.8,948151人评价,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
红辣椒,9.1,468768人评价,梦的勾结。,https://movie.douban.com/subject/1865703/
加勒比海盗,8.8,865561人评价,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
哈利·波特与密室,8.9,765667人评价,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
一一,9.1,398050人评价,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
狩猎,9.1,395223人评价,人言可畏。,https://movie.douban.com/subject/6985810/
唐伯虎点秋香,8.7,1088200人评价,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
7号房的礼物,8.9,561088人评价,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
被嫌弃的松子的一生,8.9,707605人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
请以你的名字呼唤我,8.9,728022人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
断背山,8.8,710833人评价,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
蝙蝠侠：黑暗骑士崛起,8.8,727649人评价,诺兰就是保证。,https://movie.douban.com/subject/3395373/
剪刀手爱德华,8.7,1039984人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
爱在黎明破晓前,8.8,689135人评价,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
入殓师,8.9,671491人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
勇敢的心,8.9,561151人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/
第六感,8.9,559811人评价,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
重庆森林,8.8,816705人评价,寂寞没有期限。,https://movie.douban.com/subject/1291999/
超能陆战队,8.7,1021785人评价,Balalala~~~,https://movie.douban.com/subject/11026735/
幽灵公主,8.9,527735人评价,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
甜蜜蜜,8.9,558836人评价,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
爱在日落黄昏时,8.9,565868人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
菊次郎的夏天,8.9,600448人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂,8.9,557903人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
消失的爱人,8.7,960015人评价,年度最佳date movie。,https://movie.douban.com/subject/21318488/
天使爱美丽,8.7,958270人评价,法式小清新。 ,https://movie.douban.com/subject/1292215/
阳光灿烂的日子,8.8,618013人评价,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
完美的世界,9.1,317446人评价,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
小森林 夏秋篇,9.0,428615人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
无人知晓,9.1,321650人评价,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
寄生虫,8.8,1379086人评价,,https://movie.douban.com/subject/27010768/
倩女幽魂,8.8,742762人评价,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
时空恋旅人,8.8,678856人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
侧耳倾听,8.9,466199人评价,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
小森林 冬春篇,9.0,381668人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
幸福终点站,8.8,575150人评价,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
驯龙高手,8.8,760795人评价,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
未麻的部屋,9.1,336988人评价,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
一个叫欧维的男人决定去死,8.9,487321人评价,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
哈利·波特与火焰杯,8.8,667875人评价,,https://movie.douban.com/subject/1309055/
教父3,9.0,377437人评价,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
怪兽电力公司,8.8,677693人评价,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
萤火之森,8.9,543805人评价,触不到的恋人。,https://movie.douban.com/subject/5989818/
傲慢与偏见,8.7,806773人评价,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
玩具总动员3,8.9,521751人评价,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
新世界,8.9,440073人评价,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
釜山行,8.6,1207688人评价,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,953641人评价,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
被解救的姜戈,8.8,613068人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
玛丽和马克思,9.0,423431人评价,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
告白,8.8,675123人评价,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
哪吒闹海,9.2,262040人评价,想你时你在闹海。,https://movie.douban.com/subject/1307315/
茶馆,9.6,149110人评价,,https://movie.douban.com/subject/1461403/
大鱼,8.8,571302人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
九品芝麻官,8.7,686162人评价,,https://movie.douban.com/subject/1297518/
喜宴,9.0,365640人评价,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
射雕英雄传之东成西就,8.7,641485人评价,百看不厌。 ,https://movie.douban.com/subject/1316510/
模仿游戏,8.8,651529人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
头号玩家,8.7,1376877人评价,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
色，戒,8.7,815385人评价,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
我是山姆,9.0,339934人评价,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
阳光姐妹淘,8.8,592965人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
花样年华,8.7,612626人评价,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
